degree,gamma,C,training F1,test F1,training acc,test acc
2,0.1,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.2,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.3,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.4,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.5,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.6,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.7,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.8,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
2,0.9,1e-63,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
3,0.1,1e-06,0.44021359765461404,0.26000000000000006,0.4470588235294118,0.4333333333333333
3,0.2,1e-05,0.8065622895622896,0.5218181818181817,0.7647058823529411,0.5333333333333333
3,0.3,1e-05,0.8993174502776021,0.5561038961038961,0.8823529411764707,0.5333333333333333
3,0.4,1e-05,0.9057690631808277,0.5561038961038961,0.8941176470588236,0.5333333333333333
3,0.5,1e-05,0.9445925925925927,0.6894372294372295,0.9294117647058823,0.6
3,0.6,1e-05,0.9445925925925927,0.6853968253968253,0.9294117647058823,0.6
3,0.7,1e-05,0.9445925925925927,0.6552380952380953,0.9294117647058823,0.5999999999999999
3,0.8,1e-06,0.583113864692812,0.38181818181818183,0.5411764705882354,0.4666666666666666
3,0.9,1e-07,0.5281609195402298,0.3333333333333333,0.5529411764705883,0.4333333333333333
4,0.1,1e-06,0.8586310160427807,0.4618181818181818,0.8352941176470589,0.4666666666666667
4,0.2,1e-74,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
4,0.3,1e-08,0.4715001473622163,0.3484848484848485,0.4588235294117647,0.4333333333333333
4,0.4,1e-74,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
4,0.5,1e-74,0.4979181737802428,0.39333333333333337,0.5411764705882354,0.4
4,0.6,1e-07,0.7453333333333333,0.38181818181818183,0.7058823529411764,0.4333333333333333
4,0.7,1e-08,0.5141025641025642,0.3484848484848485,0.49411764705882344,0.4333333333333333
4,0.8,1e-07,0.8300595874713522,0.38181818181818183,0.7882352941176471,0.4333333333333333
4,0.9,1e-07,0.8452976827094474,0.4618181818181818,0.8117647058823529,0.4666666666666667
5,0.1,1e-06,1.0,0.6399999999999999,1.0,0.6333333333333333
5,0.2,1e-08,0.8688831168831168,0.6894372294372294,0.8235294117647058,0.6
5,0.3,1e-08,0.9298181818181817,0.7275324675324676,0.9058823529411765,0.6333333333333334
5,0.4,1e-08,0.963304347826087,0.7275324675324676,0.9529411764705882,0.6333333333333334
5,0.5,1e-08,0.963304347826087,0.6599999999999999,0.9529411764705882,0.5666666666666667
5,0.6,1e-08,0.963304347826087,0.6123809523809524,0.9529411764705882,0.5333333333333333
5,0.7,1e-07,1.0,0.6399999999999999,1.0,0.6333333333333333
5,0.8,1e-08,0.963304347826087,0.5447619047619047,0.9529411764705882,0.5666666666666667
5,0.9,1e-07,1.0,0.6399999999999999,1.0,0.6333333333333333
6,0.1,1e-08,0.9913043478260869,0.5627705627705628,0.9882352941176471,0.6000000000000001
6,0.2,1e-09,0.963304347826087,0.5532467532467533,0.9529411764705882,0.5333333333333334
6,0.3,1e-10,0.7677219251336899,0.5151515151515151,0.7176470588235294,0.5000000000000001
6,0.4,1e-09,0.963304347826087,0.5675324675324676,0.9529411764705882,0.5666666666666667
6,0.5,1e-10,0.8531188811188812,0.5532467532467533,0.8,0.5333333333333334
6,0.6,1e-09,0.9913043478260869,0.5818181818181818,0.9882352941176471,0.6000000000000001
6,0.7,1e-09,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
6,0.8,1e-09,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
6,0.9,1e-10,0.9198260869565218,0.5532467532467533,0.8941176470588236,0.5333333333333334
7,0.1,1e-10,0.963304347826087,0.4914285714285714,0.9529411764705882,0.5333333333333333
7,0.2,1e-09,1.0,0.4533333333333333,1.0,0.5
7,0.3,1e-09,1.0,0.4533333333333333,1.0,0.5
7,0.4,1e-10,0.9913043478260869,0.5399999999999999,0.9882352941176471,0.6
7,0.5,1e-12,0.7677219251336899,0.6894372294372294,0.7176470588235294,0.6
7,0.6,1e-12,0.7821010101010101,0.6894372294372294,0.7294117647058823,0.6
7,0.7,1e-12,0.8083636363636364,0.7275324675324676,0.7529411764705882,0.6333333333333334
7,0.8,1e-14,0.5226495726495727,0.41515151515151516,0.5058823529411764,0.5
7,0.9,1e-14,0.5226495726495727,0.41515151515151516,0.5058823529411764,0.5
8,0.1,1e-11,0.9913043478260869,0.5627705627705628,0.9882352941176471,0.6000000000000001
8,0.2,1e-12,0.963304347826087,0.5532467532467533,0.9529411764705882,0.5333333333333334
8,0.3,1e-11,1.0,0.47705627705627707,1.0,0.5
8,0.4,1e-11,1.0,0.47705627705627707,1.0,0.5
8,0.5,1e-12,0.9833043478260869,0.5341991341991342,0.9764705882352942,0.5666666666666667
8,0.6,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.7,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.8,1e-12,0.9913043478260869,0.5341991341991342,0.9882352941176471,0.5666666666666667
8,0.9,1e-12,0.9913043478260869,0.5627705627705628,0.9882352941176471,0.6000000000000001
9,0.1,1e-15,0.7677219251336899,0.578961038961039,0.7176470588235294,0.5
9,0.2,1e-15,0.7821010101010101,0.6894372294372294,0.7294117647058823,0.6
9,0.3,1e-15,0.8178498023715415,0.7561038961038961,0.7647058823529411,0.6666666666666667
9,0.4,1e-15,0.8178498023715415,0.7275324675324676,0.7647058823529411,0.6333333333333334
9,0.5,1e-13,1.0,0.5399999999999999,1.0,0.6
9,0.6,1e-13,1.0,0.5399999999999999,1.0,0.6
9,0.7,1e-12,1.0,0.43428571428571433,1.0,0.4666666666666666
9,0.8,1e-13,1.0,0.43428571428571433,1.0,0.4666666666666666
9,0.9,1e-12,1.0,0.43428571428571433,1.0,0.4666666666666666
